,date,variable,value
0,2021-02-24,daily_booster2,0
1,2021-02-25,daily_booster2,0
2,2021-02-26,daily_booster2,0
3,2021-02-27,daily_booster2,0
4,2021-02-28,daily_booster2,0
5,2021-03-01,daily_booster2,0
6,2021-03-02,daily_booster2,0
7,2021-03-03,daily_booster2,0
8,2021-03-04,daily_booster2,0
9,2021-03-05,daily_booster2,0
10,2021-03-06,daily_booster2,0
11,2021-03-07,daily_booster2,0
12,2021-03-08,daily_booster2,0
13,2021-03-09,daily_booster2,0
14,2021-03-10,daily_booster2,0
15,2021-03-11,daily_booster2,0
16,2021-03-12,daily_booster2,0
17,2021-03-13,daily_booster2,0
18,2021-03-14,daily_booster2,0
19,2021-03-15,daily_booster2,0
20,2021-03-16,daily_booster2,0
21,2021-03-17,daily_booster2,0
22,2021-03-18,daily_booster2,0
23,2021-03-19,daily_booster2,0
24,2021-03-20,daily_booster2,0
25,2021-03-21,daily_booster2,0
26,2021-03-22,daily_booster2,0
27,2021-03-23,daily_booster2,0
28,2021-03-24,daily_booster2,0
29,2021-03-25,daily_booster2,0
30,2021-03-26,daily_booster2,0
31,2021-03-27,daily_booster2,0
32,2021-03-28,daily_booster2,0
33,2021-03-29,daily_booster2,0
34,2021-03-30,daily_booster2,0
35,2021-03-31,daily_booster2,0
36,2021-04-01,daily_booster2,0
37,2021-04-02,daily_booster2,0
38,2021-04-03,daily_booster2,0
39,2021-04-04,daily_booster2,0
40,2021-04-05,daily_booster2,0
41,2021-04-06,daily_booster2,0
42,2021-04-07,daily_booster2,0
43,2021-04-08,daily_booster2,0
44,2021-04-09,daily_booster2,0
45,2021-04-10,daily_booster2,0
46,2021-04-11,daily_booster2,0
47,2021-04-12,daily_booster2,0
48,2021-04-13,daily_booster2,0
49,2021-04-14,daily_booster2,0
50,2021-04-15,daily_booster2,0
51,2021-04-16,daily_booster2,0
52,2021-04-17,daily_booster2,0
53,2021-04-18,daily_booster2,0
54,2021-04-19,daily_booster2,0
55,2021-04-20,daily_booster2,0
56,2021-04-21,daily_booster2,0
57,2021-04-22,daily_booster2,0
58,2021-04-23,daily_booster2,0
59,2021-04-24,daily_booster2,0
60,2021-04-25,daily_booster2,0
61,2021-04-26,daily_booster2,0
62,2021-04-27,daily_booster2,0
63,2021-04-28,daily_booster2,0
64,2021-04-29,daily_booster2,0
65,2021-04-30,daily_booster2,0
66,2021-05-01,daily_booster2,0
67,2021-05-02,daily_booster2,0
68,2021-05-03,daily_booster2,0
69,2021-05-04,daily_booster2,0
70,2021-05-05,daily_booster2,0
71,2021-05-06,daily_booster2,0
72,2021-05-07,daily_booster2,0
73,2021-05-08,daily_booster2,0
74,2021-05-09,daily_booster2,0
75,2021-05-10,daily_booster2,0
76,2021-05-11,daily_booster2,0
77,2021-05-12,daily_booster2,0
78,2021-05-13,daily_booster2,0
79,2021-05-14,daily_booster2,0
80,2021-05-15,daily_booster2,0
81,2021-05-16,daily_booster2,0
82,2021-05-17,daily_booster2,0
83,2021-05-18,daily_booster2,0
84,2021-05-19,daily_booster2,0
85,2021-05-20,daily_booster2,0
86,2021-05-21,daily_booster2,0
87,2021-05-22,daily_booster2,0
88,2021-05-23,daily_booster2,0
89,2021-05-24,daily_booster2,0
90,2021-05-25,daily_booster2,0
91,2021-05-26,daily_booster2,0
92,2021-05-27,daily_booster2,0
93,2021-05-28,daily_booster2,0
94,2021-05-29,daily_booster2,0
95,2021-05-30,daily_booster2,0
96,2021-05-31,daily_booster2,0
97,2021-06-01,daily_booster2,0
98,2021-06-02,daily_booster2,0
99,2021-06-03,daily_booster2,0
100,2021-06-04,daily_booster2,0
101,2021-06-05,daily_booster2,0
102,2021-06-06,daily_booster2,0
103,2021-06-07,daily_booster2,0
104,2021-06-08,daily_booster2,0
105,2021-06-09,daily_booster2,0
106,2021-06-10,daily_booster2,0
107,2021-06-11,daily_booster2,0
108,2021-06-12,daily_booster2,0
109,2021-06-13,daily_booster2,0
110,2021-06-14,daily_booster2,0
111,2021-06-15,daily_booster2,0
112,2021-06-16,daily_booster2,0
113,2021-06-17,daily_booster2,0
114,2021-06-18,daily_booster2,0
115,2021-06-19,daily_booster2,0
116,2021-06-20,daily_booster2,0
117,2021-06-21,daily_booster2,0
118,2021-06-22,daily_booster2,0
119,2021-06-23,daily_booster2,0
120,2021-06-24,daily_booster2,0
121,2021-06-25,daily_booster2,0
122,2021-06-26,daily_booster2,0
123,2021-06-27,daily_booster2,0
124,2021-06-28,daily_booster2,0
125,2021-06-29,daily_booster2,0
126,2021-06-30,daily_booster2,0
127,2021-07-01,daily_booster2,0
128,2021-07-02,daily_booster2,0
129,2021-07-03,daily_booster2,0
130,2021-07-04,daily_booster2,0
131,2021-07-05,daily_booster2,0
132,2021-07-06,daily_booster2,0
133,2021-07-07,daily_booster2,0
134,2021-07-08,daily_booster2,0
135,2021-07-09,daily_booster2,0
136,2021-07-10,daily_booster2,0
137,2021-07-11,daily_booster2,0
138,2021-07-12,daily_booster2,0
139,2021-07-13,daily_booster2,0
140,2021-07-14,daily_booster2,0
141,2021-07-15,daily_booster2,0
142,2021-07-16,daily_booster2,0
143,2021-07-17,daily_booster2,0
144,2021-07-18,daily_booster2,0
145,2021-07-19,daily_booster2,0
146,2021-07-20,daily_booster2,0
147,2021-07-21,daily_booster2,0
148,2021-07-22,daily_booster2,0
149,2021-07-23,daily_booster2,0
150,2021-07-24,daily_booster2,0
151,2021-07-25,daily_booster2,0
152,2021-07-26,daily_booster2,0
153,2021-07-27,daily_booster2,0
154,2021-07-28,daily_booster2,0
155,2021-07-29,daily_booster2,0
156,2021-07-30,daily_booster2,0
157,2021-07-31,daily_booster2,0
158,2021-08-01,daily_booster2,0
159,2021-08-02,daily_booster2,0
160,2021-08-03,daily_booster2,0
161,2021-08-04,daily_booster2,0
162,2021-08-05,daily_booster2,0
163,2021-08-06,daily_booster2,0
164,2021-08-07,daily_booster2,0
165,2021-08-08,daily_booster2,0
166,2021-08-09,daily_booster2,0
167,2021-08-10,daily_booster2,0
168,2021-08-11,daily_booster2,0
169,2021-08-12,daily_booster2,0
170,2021-08-13,daily_booster2,0
171,2021-08-14,daily_booster2,0
172,2021-08-15,daily_booster2,0
173,2021-08-16,daily_booster2,0
174,2021-08-17,daily_booster2,0
175,2021-08-18,daily_booster2,0
176,2021-08-19,daily_booster2,0
177,2021-08-20,daily_booster2,0
178,2021-08-21,daily_booster2,0
179,2021-08-22,daily_booster2,0
180,2021-08-23,daily_booster2,0
181,2021-08-24,daily_booster2,0
182,2021-08-25,daily_booster2,0
183,2021-08-26,daily_booster2,0
184,2021-08-27,daily_booster2,0
185,2021-08-28,daily_booster2,0
186,2021-08-29,daily_booster2,0
187,2021-08-30,daily_booster2,0
188,2021-08-31,daily_booster2,0
189,2021-09-01,daily_booster2,0
190,2021-09-02,daily_booster2,0
191,2021-09-03,daily_booster2,0
192,2021-09-04,daily_booster2,0
193,2021-09-05,daily_booster2,0
194,2021-09-06,daily_booster2,0
195,2021-09-07,daily_booster2,0
196,2021-09-08,daily_booster2,0
197,2021-09-09,daily_booster2,0
198,2021-09-10,daily_booster2,0
199,2021-09-11,daily_booster2,0
200,2021-09-12,daily_booster2,0
201,2021-09-13,daily_booster2,0
202,2021-09-14,daily_booster2,0
203,2021-09-15,daily_booster2,0
204,2021-09-16,daily_booster2,0
205,2021-09-17,daily_booster2,0
206,2021-09-18,daily_booster2,0
207,2021-09-19,daily_booster2,0
208,2021-09-20,daily_booster2,0
209,2021-09-21,daily_booster2,0
210,2021-09-22,daily_booster2,0
211,2021-09-23,daily_booster2,0
212,2021-09-24,daily_booster2,0
213,2021-09-25,daily_booster2,0
214,2021-09-26,daily_booster2,0
215,2021-09-27,daily_booster2,0
216,2021-09-28,daily_booster2,0
217,2021-09-29,daily_booster2,0
218,2021-09-30,daily_booster2,0
219,2021-10-01,daily_booster2,0
220,2021-10-02,daily_booster2,0
221,2021-10-03,daily_booster2,0
222,2021-10-04,daily_booster2,0
223,2021-10-05,daily_booster2,0
224,2021-10-06,daily_booster2,0
225,2021-10-07,daily_booster2,0
226,2021-10-08,daily_booster2,0
227,2021-10-09,daily_booster2,0
228,2021-10-10,daily_booster2,0
229,2021-10-11,daily_booster2,0
230,2021-10-12,daily_booster2,0
231,2021-10-13,daily_booster2,0
232,2021-10-14,daily_booster2,0
233,2021-10-15,daily_booster2,0
234,2021-10-16,daily_booster2,1
235,2021-10-17,daily_booster2,0
