,date,variable,value
163,2021-08-06,cumul_partial,15698824
164,2021-08-07,cumul_partial,15903934
165,2021-08-08,cumul_partial,16076314
166,2021-08-09,cumul_partial,16279878
167,2021-08-10,cumul_partial,16457045
168,2021-08-11,cumul_partial,16702267
169,2021-08-12,cumul_partial,16920936
170,2021-08-13,cumul_partial,17107028
171,2021-08-14,cumul_partial,17288718
172,2021-08-15,cumul_partial,17447448
173,2021-08-16,cumul_partial,17638867
174,2021-08-17,cumul_partial,17838345
175,2021-08-18,cumul_partial,18045967
176,2021-08-19,cumul_partial,18243313
177,2021-08-20,cumul_partial,18416851
178,2021-08-21,cumul_partial,18592553
179,2021-08-22,cumul_partial,18743795
180,2021-08-23,cumul_partial,18906581
181,2021-08-24,cumul_partial,19077011
182,2021-08-25,cumul_partial,19253836
183,2021-08-26,cumul_partial,19428741
184,2021-08-27,cumul_partial,19589866
185,2021-08-28,cumul_partial,19760466
186,2021-08-29,cumul_partial,19923234
187,2021-08-30,cumul_partial,20123951
188,2021-08-31,cumul_partial,20255970
189,2021-09-01,cumul_partial,20460803
190,2021-09-02,cumul_partial,20661798
191,2021-09-03,cumul_partial,20824963
192,2021-09-04,cumul_partial,20980765
193,2021-09-05,cumul_partial,21133793
194,2021-09-06,cumul_partial,21280272
195,2021-09-07,cumul_partial,21427475
196,2021-09-08,cumul_partial,21568786
197,2021-09-09,cumul_partial,21718492
198,2021-09-10,cumul_partial,21844844
199,2021-09-11,cumul_partial,21949089
200,2021-09-12,cumul_partial,22039607
201,2021-09-13,cumul_partial,22122317
202,2021-09-14,cumul_partial,22206423
203,2021-09-15,cumul_partial,22284866
204,2021-09-16,cumul_partial,22354387
205,2021-09-17,cumul_partial,22439119
206,2021-09-18,cumul_partial,22522783
207,2021-09-19,cumul_partial,22592546
208,2021-09-20,cumul_partial,22696680
209,2021-09-21,cumul_partial,22828063
210,2021-09-22,cumul_partial,22960104
211,2021-09-23,cumul_partial,23101539
212,2021-09-24,cumul_partial,23226373
213,2021-09-25,cumul_partial,23348922
214,2021-09-26,cumul_partial,23471932
215,2021-09-27,cumul_partial,23649220
216,2021-09-28,cumul_partial,23825802
217,2021-09-29,cumul_partial,24024499
218,2021-09-30,cumul_partial,24199962
219,2021-10-01,cumul_partial,24307411
220,2021-10-02,cumul_partial,24402067
221,2021-10-03,cumul_partial,24502402
222,2021-10-04,cumul_partial,24634111
223,2021-10-05,cumul_partial,24762384
224,2021-10-06,cumul_partial,24880612
225,2021-10-07,cumul_partial,24992897
226,2021-10-08,cumul_partial,25070691
227,2021-10-09,cumul_partial,25113287
228,2021-10-10,cumul_partial,25147253
229,2021-10-11,cumul_partial,25203336
230,2021-10-12,cumul_partial,25262580
231,2021-10-13,cumul_partial,25317383
232,2021-10-14,cumul_partial,25361866
233,2021-10-15,cumul_partial,25401023
234,2021-10-16,cumul_partial,25418183
235,2021-10-17,cumul_partial,25436466
236,2021-10-18,cumul_partial,25470794
237,2021-10-19,cumul_partial,25486983
238,2021-10-20,cumul_partial,25519358
239,2021-10-21,cumul_partial,25553669
240,2021-10-22,cumul_partial,25583810
241,2021-10-23,cumul_partial,25596384
242,2021-10-24,cumul_partial,25608736
243,2021-10-25,cumul_partial,25634127
244,2021-10-26,cumul_partial,25660434
245,2021-10-27,cumul_partial,25681471
246,2021-10-28,cumul_partial,25702653
247,2021-10-29,cumul_partial,25718973
248,2021-10-30,cumul_partial,25726728
249,2021-10-31,cumul_partial,25733688
250,2021-11-01,cumul_partial,25743963
251,2021-11-02,cumul_partial,25754425
252,2021-11-03,cumul_partial,25763575
253,2021-11-04,cumul_partial,25766938
254,2021-11-05,cumul_partial,25773014
255,2021-11-06,cumul_partial,25778259
256,2021-11-07,cumul_partial,25782202
257,2021-11-08,cumul_partial,25789201
258,2021-11-09,cumul_partial,25798003
259,2021-11-10,cumul_partial,25806664
260,2021-11-11,cumul_partial,25816311
261,2021-11-12,cumul_partial,25824366
262,2021-11-13,cumul_partial,25828483
263,2021-11-14,cumul_partial,25832495
264,2021-11-15,cumul_partial,25839277
265,2021-11-16,cumul_partial,25846732
266,2021-11-17,cumul_partial,25853472
267,2021-11-18,cumul_partial,25861246
268,2021-11-19,cumul_partial,25868628
269,2021-11-20,cumul_partial,25872001
270,2021-11-21,cumul_partial,25874823
271,2021-11-22,cumul_partial,25880136
272,2021-11-23,cumul_partial,25885714
273,2021-11-24,cumul_partial,25891202
274,2021-11-25,cumul_partial,25897350
275,2021-11-26,cumul_partial,25902491
276,2021-11-27,cumul_partial,25905137
277,2021-11-28,cumul_partial,25907533
278,2021-11-29,cumul_partial,25912351
279,2021-11-30,cumul_partial,25917747
280,2021-12-01,cumul_partial,25923449
281,2021-12-02,cumul_partial,25929228
282,2021-12-03,cumul_partial,25933926
283,2021-12-04,cumul_partial,25937657
284,2021-12-05,cumul_partial,25939835
285,2021-12-06,cumul_partial,25945327
286,2021-12-07,cumul_partial,25950469
287,2021-12-08,cumul_partial,25955682
288,2021-12-09,cumul_partial,25961140
289,2021-12-10,cumul_partial,25965401
290,2021-12-11,cumul_partial,25966972
291,2021-12-12,cumul_partial,25968621
292,2021-12-13,cumul_partial,25972936
293,2021-12-14,cumul_partial,25977368
294,2021-12-15,cumul_partial,25981993
295,2021-12-16,cumul_partial,25986719
296,2021-12-17,cumul_partial,25990023
297,2021-12-18,cumul_partial,25991399
298,2021-12-19,cumul_partial,25993035
299,2021-12-20,cumul_partial,25996641
300,2021-12-21,cumul_partial,26000124
301,2021-12-22,cumul_partial,26003714
302,2021-12-23,cumul_partial,26007529
303,2021-12-24,cumul_partial,26009918
304,2021-12-25,cumul_partial,26010540
305,2021-12-26,cumul_partial,26011475
306,2021-12-27,cumul_partial,26015024
307,2021-12-28,cumul_partial,26018719
308,2021-12-29,cumul_partial,26022392
309,2021-12-30,cumul_partial,26026056
310,2021-12-31,cumul_partial,26029127
311,2022-01-01,cumul_partial,26029732
312,2022-01-02,cumul_partial,26031222
313,2022-01-03,cumul_partial,26034263
314,2022-01-04,cumul_partial,26037480
315,2022-01-05,cumul_partial,26040596
316,2022-01-06,cumul_partial,26043855
317,2022-01-07,cumul_partial,26046841
318,2022-01-08,cumul_partial,26048219
319,2022-01-09,cumul_partial,26049452
320,2022-01-10,cumul_partial,26051869
321,2022-01-11,cumul_partial,26054175
322,2022-01-12,cumul_partial,26056462
323,2022-01-13,cumul_partial,26058823
324,2022-01-14,cumul_partial,26060727
325,2022-01-15,cumul_partial,26061989
326,2022-01-16,cumul_partial,26062933
327,2022-01-17,cumul_partial,26065093
328,2022-01-18,cumul_partial,26066231
329,2022-01-19,cumul_partial,26068676
330,2022-01-20,cumul_partial,26070647
331,2022-01-21,cumul_partial,26072298
332,2022-01-22,cumul_partial,26073420
333,2022-01-23,cumul_partial,26074344
334,2022-01-24,cumul_partial,26076507
335,2022-01-25,cumul_partial,26078788
336,2022-01-26,cumul_partial,26080633
337,2022-01-27,cumul_partial,26082529
338,2022-01-28,cumul_partial,26084380
339,2022-01-29,cumul_partial,26085193
340,2022-01-30,cumul_partial,26085777
341,2022-01-31,cumul_partial,26086841
342,2022-02-01,cumul_partial,26087098
343,2022-02-02,cumul_partial,26087455
344,2022-02-03,cumul_partial,26090131
345,2022-02-04,cumul_partial,26092958
346,2022-02-05,cumul_partial,26109082
347,2022-02-06,cumul_partial,26125730
348,2022-02-07,cumul_partial,26135602
349,2022-02-08,cumul_partial,26146957
350,2022-02-09,cumul_partial,26161821
351,2022-02-10,cumul_partial,26180944
352,2022-02-11,cumul_partial,26202567
353,2022-02-12,cumul_partial,26243102
354,2022-02-13,cumul_partial,26279239
355,2022-02-14,cumul_partial,26319217
356,2022-02-15,cumul_partial,26362906
357,2022-02-16,cumul_partial,26409525
358,2022-02-17,cumul_partial,26464896
359,2022-02-18,cumul_partial,26509895
360,2022-02-19,cumul_partial,26584203
361,2022-02-20,cumul_partial,26646352
362,2022-02-21,cumul_partial,26700367
363,2022-02-22,cumul_partial,26753830
364,2022-02-23,cumul_partial,26803446
365,2022-02-24,cumul_partial,26852596
366,2022-02-25,cumul_partial,26898444
367,2022-02-26,cumul_partial,26954929
368,2022-02-27,cumul_partial,26997966
369,2022-02-28,cumul_partial,27033328
370,2022-03-01,cumul_partial,27060631
371,2022-03-02,cumul_partial,27088424
372,2022-03-03,cumul_partial,27112892
373,2022-03-04,cumul_partial,27136684
374,2022-03-05,cumul_partial,27167831
375,2022-03-06,cumul_partial,27192985
376,2022-03-07,cumul_partial,27209608
377,2022-03-08,cumul_partial,27229856
378,2022-03-09,cumul_partial,27249112
379,2022-03-10,cumul_partial,27269800
380,2022-03-11,cumul_partial,27294407
381,2022-03-12,cumul_partial,27321118
382,2022-03-13,cumul_partial,27345142
383,2022-03-14,cumul_partial,27360320
384,2022-03-15,cumul_partial,27378991
385,2022-03-16,cumul_partial,27392973
386,2022-03-17,cumul_partial,27407394
387,2022-03-18,cumul_partial,27426931
388,2022-03-19,cumul_partial,27443637
389,2022-03-20,cumul_partial,27454649
390,2022-03-21,cumul_partial,27459877
391,2022-03-22,cumul_partial,27466662
392,2022-03-23,cumul_partial,27473234
393,2022-03-24,cumul_partial,27480402
394,2022-03-25,cumul_partial,27493615
395,2022-03-26,cumul_partial,27507504
396,2022-03-27,cumul_partial,27514329
397,2022-03-28,cumul_partial,27519301
398,2022-03-29,cumul_partial,27525751
399,2022-03-30,cumul_partial,27531682
400,2022-03-31,cumul_partial,27539535
401,2022-04-01,cumul_partial,27550707
402,2022-04-02,cumul_partial,27560328
403,2022-04-03,cumul_partial,27563192
404,2022-04-04,cumul_partial,27566544
405,2022-04-05,cumul_partial,27569984
406,2022-04-06,cumul_partial,27573899
407,2022-04-07,cumul_partial,27578451
408,2022-04-08,cumul_partial,27585832
409,2022-04-09,cumul_partial,27593375
410,2022-04-10,cumul_partial,27597717
411,2022-04-11,cumul_partial,27602601
412,2022-04-12,cumul_partial,27607647
413,2022-04-13,cumul_partial,27613764
414,2022-04-14,cumul_partial,27623013
415,2022-04-15,cumul_partial,27635177
416,2022-04-16,cumul_partial,27650915
417,2022-04-17,cumul_partial,27662893
418,2022-04-18,cumul_partial,27672762
419,2022-04-19,cumul_partial,27680949
420,2022-04-20,cumul_partial,27693079
421,2022-04-21,cumul_partial,27708157
422,2022-04-22,cumul_partial,27725666
423,2022-04-23,cumul_partial,27744330
424,2022-04-24,cumul_partial,27756971
425,2022-04-25,cumul_partial,27765386
426,2022-04-26,cumul_partial,27773170
427,2022-04-27,cumul_partial,27782042
428,2022-04-28,cumul_partial,27790879
429,2022-04-29,cumul_partial,27802405
430,2022-04-30,cumul_partial,27810182
431,2022-05-01,cumul_partial,27812553
432,2022-05-02,cumul_partial,27813337
433,2022-05-03,cumul_partial,27813974
434,2022-05-04,cumul_partial,27814692
435,2022-05-05,cumul_partial,27817017
436,2022-05-06,cumul_partial,27821583
437,2022-05-07,cumul_partial,27826749
438,2022-05-08,cumul_partial,27834929
439,2022-05-09,cumul_partial,27843763
440,2022-05-10,cumul_partial,27854110
441,2022-05-11,cumul_partial,27867232
442,2022-05-12,cumul_partial,27885291
443,2022-05-13,cumul_partial,27908392
444,2022-05-14,cumul_partial,27926368
445,2022-05-15,cumul_partial,27936553
446,2022-05-16,cumul_partial,27939344
447,2022-05-17,cumul_partial,27943137
448,2022-05-18,cumul_partial,27946783
449,2022-05-19,cumul_partial,27951655
450,2022-05-20,cumul_partial,27959788
451,2022-05-21,cumul_partial,27968168
452,2022-05-22,cumul_partial,27974589
453,2022-05-23,cumul_partial,27978506
454,2022-05-24,cumul_partial,27982730
455,2022-05-25,cumul_partial,27987112
456,2022-05-26,cumul_partial,27993704
457,2022-05-27,cumul_partial,28002990
458,2022-05-28,cumul_partial,28011784
459,2022-05-29,cumul_partial,28018971
460,2022-05-30,cumul_partial,28024946
461,2022-05-31,cumul_partial,28032987
462,2022-06-01,cumul_partial,28033887
463,2022-06-02,cumul_partial,28034861
464,2022-06-03,cumul_partial,28037169
465,2022-06-04,cumul_partial,28039344
466,2022-06-05,cumul_partial,28040947
467,2022-06-06,cumul_partial,28041312
468,2022-06-07,cumul_partial,28042006
469,2022-06-08,cumul_partial,28042725
470,2022-06-09,cumul_partial,28043576
471,2022-06-10,cumul_partial,28044817
472,2022-06-11,cumul_partial,28045683
473,2022-06-12,cumul_partial,28046776
474,2022-06-13,cumul_partial,28047225
475,2022-06-14,cumul_partial,28048027
476,2022-06-15,cumul_partial,28049363
477,2022-06-16,cumul_partial,28050046
478,2022-06-17,cumul_partial,28051001
479,2022-06-18,cumul_partial,28052236
480,2022-06-19,cumul_partial,28053168
481,2022-06-20,cumul_partial,28053774
482,2022-06-21,cumul_partial,28054528
483,2022-06-22,cumul_partial,28055796
484,2022-06-23,cumul_partial,28058228
485,2022-06-24,cumul_partial,28061207
486,2022-06-25,cumul_partial,28062491
487,2022-06-26,cumul_partial,28063367
488,2022-06-27,cumul_partial,28063693
489,2022-06-28,cumul_partial,28063952
490,2022-06-29,cumul_partial,28064299
491,2022-06-30,cumul_partial,28065048
492,2022-07-01,cumul_partial,28066121
493,2022-07-02,cumul_partial,28067163
494,2022-07-03,cumul_partial,28067643
495,2022-07-04,cumul_partial,28068048
496,2022-07-05,cumul_partial,28068701
497,2022-07-06,cumul_partial,28069041
498,2022-07-07,cumul_partial,28069676
499,2022-07-08,cumul_partial,28070344
500,2022-07-09,cumul_partial,28070759
501,2022-07-10,cumul_partial,28071241
502,2022-07-11,cumul_partial,28071338
503,2022-07-12,cumul_partial,28071555
504,2022-07-13,cumul_partial,28071855
505,2022-07-14,cumul_partial,28072641
506,2022-07-15,cumul_partial,28073299
507,2022-07-16,cumul_partial,28073915
508,2022-07-17,cumul_partial,28074375
509,2022-07-18,cumul_partial,28074717
510,2022-07-19,cumul_partial,28075074
511,2022-07-20,cumul_partial,28075573
512,2022-07-21,cumul_partial,28076019
513,2022-07-22,cumul_partial,28076678
514,2022-07-23,cumul_partial,28077721
515,2022-07-24,cumul_partial,28078459
516,2022-07-25,cumul_partial,28078745
517,2022-07-26,cumul_partial,28079124
518,2022-07-27,cumul_partial,28079586
519,2022-07-28,cumul_partial,28079998
520,2022-07-29,cumul_partial,28080720
521,2022-07-30,cumul_partial,28081133
522,2022-07-31,cumul_partial,28082011
523,2022-08-01,cumul_partial,28082218
524,2022-08-02,cumul_partial,28082579
525,2022-08-03,cumul_partial,28083121
526,2022-08-04,cumul_partial,28083558
527,2022-08-05,cumul_partial,28084090
528,2022-08-06,cumul_partial,28085066
529,2022-08-07,cumul_partial,28085326
530,2022-08-08,cumul_partial,28085576
531,2022-08-09,cumul_partial,28085909
532,2022-08-10,cumul_partial,28086440
533,2022-08-11,cumul_partial,28086960
534,2022-08-12,cumul_partial,28087574
535,2022-08-13,cumul_partial,28088349
536,2022-08-14,cumul_partial,28088595
537,2022-08-15,cumul_partial,28088815
538,2022-08-16,cumul_partial,28089014
539,2022-08-17,cumul_partial,28089329
540,2022-08-18,cumul_partial,28089727
541,2022-08-19,cumul_partial,28090321
542,2022-08-20,cumul_partial,28090709
543,2022-08-21,cumul_partial,28090952
544,2022-08-22,cumul_partial,28091237
545,2022-08-23,cumul_partial,28091484
546,2022-08-24,cumul_partial,28091740
547,2022-08-25,cumul_partial,28092208
548,2022-08-26,cumul_partial,28092737
549,2022-08-27,cumul_partial,28093071
550,2022-08-28,cumul_partial,28093277
551,2022-08-29,cumul_partial,28093499
552,2022-08-30,cumul_partial,28093648
553,2022-08-31,cumul_partial,28093721
554,2022-09-01,cumul_partial,28094008
555,2022-09-02,cumul_partial,28094510
556,2022-09-03,cumul_partial,28094785
557,2022-09-04,cumul_partial,28094969
558,2022-09-05,cumul_partial,28095290
559,2022-09-06,cumul_partial,28095829
560,2022-09-07,cumul_partial,28096447
561,2022-09-08,cumul_partial,28096858
562,2022-09-09,cumul_partial,28097333
563,2022-09-10,cumul_partial,28097651
564,2022-09-11,cumul_partial,28097780
565,2022-09-12,cumul_partial,28097883
566,2022-09-13,cumul_partial,28098033
567,2022-09-14,cumul_partial,28098185
568,2022-09-15,cumul_partial,28098503
569,2022-09-16,cumul_partial,28098677
570,2022-09-17,cumul_partial,28098897
571,2022-09-18,cumul_partial,28099005
572,2022-09-19,cumul_partial,28099106
573,2021-02-24,cumul_full,3
574,2021-02-25,cumul_full,5
575,2021-02-26,cumul_full,8
576,2021-02-27,cumul_full,14
577,2021-02-28,cumul_full,20
578,2021-03-01,cumul_full,26
579,2021-03-02,cumul_full,30
580,2021-03-03,cumul_full,36
581,2021-03-04,cumul_full,53
582,2021-03-05,cumul_full,59
583,2021-03-06,cumul_full,63
584,2021-03-07,cumul_full,70
585,2021-03-08,cumul_full,86
586,2021-03-09,cumul_full,149
587,2021-03-10,cumul_full,161
588,2021-03-11,cumul_full,171
589,2021-03-12,cumul_full,181
590,2021-03-13,cumul_full,184
591,2021-03-14,cumul_full,189
592,2021-03-15,cumul_full,192
593,2021-03-16,cumul_full,199
594,2021-03-17,cumul_full,264
595,2021-03-18,cumul_full,1062
596,2021-03-19,cumul_full,4898
597,2021-03-20,cumul_full,11011
598,2021-03-21,cumul_full,16863
599,2021-03-22,cumul_full,31443
600,2021-03-23,cumul_full,52321
601,2021-03-24,cumul_full,75148
602,2021-03-25,cumul_full,94520
603,2021-03-26,cumul_full,107337
604,2021-03-27,cumul_full,121781
605,2021-03-28,cumul_full,134717
606,2021-03-29,cumul_full,162102
607,2021-03-30,cumul_full,191516
608,2021-03-31,cumul_full,219042
609,2021-04-01,cumul_full,245607
610,2021-04-02,cumul_full,268517
611,2021-04-03,cumul_full,283268
612,2021-04-04,cumul_full,292435
613,2021-04-05,cumul_full,311946
614,2021-04-06,cumul_full,333651
615,2021-04-07,cumul_full,351978
616,2021-04-08,cumul_full,366790
617,2021-04-09,cumul_full,381188
618,2021-04-10,cumul_full,391260
619,2021-04-11,cumul_full,401981
620,2021-04-12,cumul_full,415945
621,2021-04-13,cumul_full,423646
622,2021-04-14,cumul_full,431397
623,2021-04-15,cumul_full,440568
624,2021-04-16,cumul_full,444494
625,2021-04-17,cumul_full,445607
626,2021-04-18,cumul_full,449373
627,2021-04-19,cumul_full,457870
628,2021-04-20,cumul_full,469163
629,2021-04-21,cumul_full,481050
630,2021-04-22,cumul_full,496241
631,2021-04-23,cumul_full,502938
632,2021-04-24,cumul_full,506426
633,2021-04-25,cumul_full,512165
634,2021-04-26,cumul_full,521111
635,2021-04-27,cumul_full,533007
636,2021-04-28,cumul_full,546277
637,2021-04-29,cumul_full,552345
638,2021-04-30,cumul_full,561266
639,2021-05-01,cumul_full,563839
640,2021-05-02,cumul_full,571963
641,2021-05-03,cumul_full,598714
642,2021-05-04,cumul_full,618421
